clean_comment,sentiment,category
👎👎👎,negative,other
its stupid how you absolutely ate this,negative,other
america,positive,other
1010,positive,other
v,positive,other
price kitni hai,positive,other
why do we need tocover up our beauty btw this obviously fake,negative,other
soo cute,spam,other
super cute,spam,other
you just said not to put it behind your ears😼,positive,other
its like sun and the moon,positive,general_command
she is so pretty❤,spam,other
nice very good👍 video didi😘😘,positive,other
love you girl 🦋🩷🩷,spam,other
que bonitos cortes,positive,other
can you pls do 🐌🌪🪞🤒,positive,other
can someone tell me the piano song that plays in the background,positive,other
night👌🫰👍,positive,other
apobiyer saj ta daw,positive,other
didi you are so cute and beautiful ❤,spam,other
east or west india is the best 😀,spam,other
as a 57 black man whos facially handsome i would trade my face for 5 inches in height without a 2nd thought body and physique just matters more,spam,other
slay,positive,other
😍😍😍😍😍👍👍👍👍,positive,other
everyone lying so badlyjust to make 1 person feel better about themselvesim not even gonna lie not even a wig and makeupim gonna save you😂,negative,cosmetic
so many girls are soo ugly without makeup where are all the natural beauties do they even exist any more,negative,cosmetic
i have 3 sisters but im not sure what they are called but they are used for spreadingapplying makeup am i right 👇,positive,cosmetic
poli,positive,other
agreed,positive,other
so beautiful what size of the t3 curler do you use,spam,other
me encantaría q este traducido en español 🙏❤,spam,other
i like 1990,positive,general_command
how long does it last👀,positive,other
what abt filipino 😞🙏,negative,other
this is my go to makeup,spam,cosmetic
my favourite is 1990s becos my mum was born in the 1990s😊😊😊❤❤,positive,other
you are very preety,spam,other
pink is my favorite color and im a preppy too,spam,other
❤beautiful face doesnt need makeup,spam,cosmetic
❤❤❤❤welcome sweetie,spam,other
is that you in your profile picture,positive,other
girl im about to start using vaseline,positive,other
slay girly you are beautiful💅💅,spam,other
beyoncé will have someone write whatever yall want to hear its just a money grab her products will more than likely be trash she doesnt care at all she just needs everyone to run out and try it shell make millions off that alone,negative,general_command
😍,positive,other
the 60s and the 20s,positive,other
literally youve hit the nail on the head,negative,other
as a girl i cant even see the diff,positive,other
happens with meall the time 😒,negative,other
literally 😭,positive,other
yay us too ✨💕,spam,other
i didnt know that it makes sense tbh,positive,other
im glad you like them i always giggle finding them for you too,spam,general_command
filter,positive,other
hey hack if you do not want eye makeup to go do it last pls pin,positive,cosmetic
love love all youre videos you always look amazing🥰🥰🥰 love the contents of this video thanks for sharing ❤❤❤💯,positive,other
i dont know why but u look like chapri😂👌,spam,general_command
thats true,positive,other
i am beautiful i am loved and i am enough beautiful quote to live by,spam,other
your pretty before and pretty after,spam,other
jasmine but a bit more wavier,positive,other
thanks so much i loved making this video with gail and every video xoxo ro,spam,other
my turned down mouth corners said no unfortunately,negative,other
mujhe,positive,other
holy shit cute,spam,other
it looks so nice on you,spam,other
i love the new brad 😅 but i miss the old manni quinnn,spam,other
well you look beautiful and your cheeks are cute and trust me its the beauty standard in so many countries to have cute chubby cheeks i have chubby cheeks as well alaynad7r5f,spam,other
im an older babe than you dominique and even though known as pretty all my life i have thanked god for makeup many times and even more so as i age thanks for your valueable tips,spam,cosmetic
shes always pretty ❤,spam,other
m1ku182 i kinda agree also since i grew up in the hood i kinda dont pay attention to personality in girls i should though but i cant what should i do 🤔,positive,other
wow i can only wish non of my local hairdressers would ever do anything like this im sooooo envious 💜,spam,hair
is this dude gay or something,negative,other
some times water works and sometimes it doesnt😢 best way to part a cowlick is with gel but i hate gel because while it does look slick it forms a crust,negative,other
i think what this song means is that you should have to wait for someone who doesnt like you back if your not you and that the time will come,positive,general_command
wow gorgeous makeup,spam,cosmetic
she does good make up,spam,other
me except im always sad,negative,other
im a sag and this is true bc this friend is trying to steal stuff from me so i ignore them then i do nothing about it,negative,other
night,positive,other
körea,positive,other
❤,spam,other
she looks very elegant beautiful ❤,spam,other
❤❤❤,spam,other
you are beautiful,spam,other
😡🤬🩷👌😢❤ özür dilerim,negative,other
you so preeeeeeeeetyyyyyy,spam,other
night is beautiful ❤,spam,other
as someone that meets conventionally attractive standards and does not look good in dramatic makeupit makes me look like a child playing with her mothers makeupthe concept of no makeup is always better often but not always comes from a place of pretty privilege i prefer light makeup not none when i have the time with an outfit i put a lot of thought into sure vanity isnt always the best but making myself feel presentable based on my standards really makes my seem better basically no makeup makes you feel your best awesome dramatic looks super cool light makeup also fine take care of your skin of course but using mineral wateroil cleanser followed with a watersoluble cleaner and daily spf will ensure to minimize any negative impacts also test products to see hope your skin reacts,spam,skincare
to young,positive,other
you are so beautiful,spam,other
😂😂,positive,other
i love indian makeup because i am indian,spam,cosmetic
she suits almost any color shes so gorgeous 😭,spam,other
sabi nga nila selflove my okasyon man o wala wag mong pabayaan ang sarili mo lalo po kaung gumanda,positive,other
☀💥,positive,other
99714 86434 this is our salon no call us for more information,positive,other
fenty beauty always reaches out to creators and i love the inclusivity and shade range that they have comes to show how brands can reach a wider audience and include poc in their campaigns if they just put in a little effort,spam,other
👸👸👸🧛♀🧛♀👸👸👸👸👸👸🧛♀🧛♀,positive,other
natural look nice,spam,other
she not cutting hair,positive,hair
shes a woman stop hating for no reason,negative,other
love it it frames her face and looks good on her,spam,other
😂❤beijinho no ombro prá i nvejosas,spam,other
msu11 youre very rude and your opinion is very inaccurate,negative,other
why teach children that make up gives you confidence,positive,other
aap apna upar wala hot kyo bhool jati h sotela h kya 😂 amazing entertaining🔥,spam,other
this gender😦,negative,other
gareeb insan 🤣🤣,positive,other
you are so cute,spam,other
جميل جدا والله ❤❤❤ملامح الوجه جميل جدا جدا,positive,other
straight,positive,other
so elegant 🥰,positive,other
barbaracloudinabur,positive,other
is this hairstyle suitable for someone with fine hair,positive,hair
ariah binik keng burung,positive,other
pov you have natural black hair,positive,hair
i definitely have aurora hair but i want belle hair so bad 😭😭,positive,hair
new piece of advice be yourself instead,positive,other
she didnt even have to go that deep into explaining herself the scrunch instantly revealed her curls🤷🏻♀,positive,other
imagine the glitter getting into your eyes,positive,other
that looks so ugly omg you people can hate on me but it just looks like its gonna burn your eyelashes,negative,general_command
this black women sounds like a female woodyof course it comes out the scalp if its the real deal black women are so used to wearing wigs that coming out the scalp has become a saying self hate makes blacks look dumb,negative,general_command
her voice is so cute 🥰,positive,other
how can someone give birth to a monstosity like u 😧😧😧,negative,general_command
big nose and recessed mandible gang,positive,other
from start to finish incredible 👍,positive,other
sob dress itna pyara hai ki mein kya hi batao 🥰🥰 mujha vi aise dress lane ka bohat sok hai but hamari india mein etni asani sa nhi melta😒,positive,other
idk edible lipgloss like wtf is that,negative,general_command
can they comb like normally,positive,general_command
she is so pretty like if u agree❤,spam,general_command
ваву,positive,other
reyeu6mp serah lu bwang,positive,other
koi jawab hi ni,positive,other
можно вопрос зачему наносить маску на косметику 😂,positive,other
lipgloss,positive,other
beautiful girl the short hair suits her,spam,hair
belle,positive,other
rat nhanh và dep beautiful,positive,other
lol she went to have makeup with already done makeup,positive,cosmetic
apnar address ta diben,positive,other
عن عن ايمنsjfjnz,positive,other
the problem is after washing to keep it styled like this,negative,general_command
such a beautiful sharing great work done🎂fwt,spam,other
wow wow wow wow wow excellent such a pretty women she has an aristocratic charisma beautiful 😍 and i like her reaction very much,positive,general_command
women are not objects tiktok 👀,positive,other
i am a big fan of you i have a video of you ❤❤❤❤❤❤❤,spam,other
hudas make up is og arab style,positive,other
ooohhh make up ka itna weight ma tw kbhi na utha sku,positive,other
indian look is amazing 😍,positive,other
when i stand in front of the mirror i see a normal straight face in symmetry when i want to see my profile and use two mirrors i see two different profiles and it makes me sad pays me,negative,other
thanks for the love and support 🌼💖,positive,other
what if youre a combination of all those features i wonder what that would look like 😁,positive,general_command
shes beautiful,spam,other
same person i think not💀,negative,other
these dumb ppl think its bc of her being fathell nothat is just leftover skinsometimes leftover skin will look like fat,negative,skincare
my hair is straight with slight waves but acts curly,positive,hair
1960❤,spam,other
the eyeshadow palette is from erinde on amazon in shade 04 cement and the contour palette is from kaleidos 3,positive,cosmetic
you are orlaidy beautifull you dont need any makeup cutoooo😍😍😘,positive,cosmetic
night look,positive,other
you remind me of katie from american housewife also i love the hair,spam,hair
isnt the lip balm company,positive,other
useless qnd and mad people every where,negative,other
beautiful 🔥😎,spam,other
its ok not im not impressed with the product 😞,negative,other
anggry girl makeup,negative,cosmetic
diiii this suits u alottttt❤,spam,other
cute,spam,other
girl is so gorgeous❤❤❤❤❤🔥,spam,other
contacts,positive,other
❤❤❤❤❤😊😊😊😊😊😊🥰🥰🥰🥰🥰😚😚😚😚😚😘😘😘🤩🤩😍😍😍,positive,other
splendid❤,spam,other
wow anna super💛😇nanum pannuvey clg pogum bothu😇innu alaga😻✨,spam,other
kishu thukral thank you,spam,other
dont become kiara you are a pagal bewakoof girl,positive,other
❤❤day😊😊,positive,other
im a bit sad that crayolas makeup wasnt a hiti really like the unique and cute packaging,positive,cosmetic
you look great make sure not to let anyone out you down,spam,other
where is the guy that measures people at for proof 🥸🥸,positive,other
untouchable,positive,other
美しい,positive,other
2020 is my favorite,spam,other
grimes♥♥♥♥♥,spam,other
she is so cute ❤❤❤❤❤,spam,other
i saw dustin,positive,other
❤❤❤❤❤❤❤💗💗💗💗💜💜💜💓💓💓💙💙💚💚💚💛💛💛😝🧡🧡,spam,other
you are a diva your techniques and strategy really show us that you are so talented,spam,other
im actually jealous of her face without any makeup😭,negative,cosmetic
plz contact number,positive,other
jlkasjdfkljsad lol,positive,other
hairstyle bahut gandi hai,positive,hair
onek onek valobasa nio dera🤗❤,spam,other
jgkckfofjxjxkfldkzn bjcmckcb kxgkgkvjcn,positive,other
so beautiful makeup❤❤😊😊,positive,cosmetic
i cant sleep on my back im scared of getting sleep paralysis 😭😓,negative,other
girl are you okay ur eyes look like you were crying before,positive,general_command
