category,clean_comment,sentiment
"general","please lesbian flag i beg you you would rock it","spam"
"general","apply mashed potato juice and mixed it with curd","positive"
"general","69 missed calls from mars","negative"
"general","baaa","positive"
"general","you look like raven from phenomena raven no cap","positive"
"general","american","positive"
"general","sahi disha me ja ja raha india ka future","positive"
"general","","positive"
"general","love your videos thank you","spam"
"general","india is the best and very beautiful","spam"
"general","","positive"
"skincare","this is so true skinny jeans always nipped me","positive"
"general","dunia semakin aneh","positive"
"cosmetic","i love korean and japanese makeup","spam"
"general","plz upload a vedio about your teeth transition","positive"
"hair","why dont you use wigs or is it just better to use ur natural hair","positive"
"general","love","spam"
"hair","what hair oil did u use because the front of my hair a really short like yours was and im trying to grow it out but no hair oils are working so do u know which one u used its ok if dont","positive"
"general","oh im so glad that you found this channel then thanks so much for letting me know that the video was helpful","spam"
"general","wavy plus straight","positive"
"general","u r looking gorgeous awesome im really falling for u u really look stunning in indian look","spam"
"general","mai khud bhi nhi bna pati aisa kuch to u think","positive"
"general","radhekrishna","positive"
"general","like my brother","positive"
"general","india is the best always","spam"
"general","1999 is my favorite","spam"
"general","","positive"
"general","beautiful","spam"
"general","the trust the process video","positive"
"hair","i have a question for you does this mean you dont got hair down there","positive"
"skincare","heyyy video is excellent but why she has to do that much effort and why this kind of makeup it may harm her skin and i think that not good","negative"
"general","friendaa daaa","positive"
"general","taglio come acquistare gli annial posto di perderli","positive"
"general","so cuteeeeee","spam"
"general","teletubbie","positive"
"hair","terrible for the hairline","negative"
"general","im a ginger ig this doesnt apply to me","negative"
"general","indian super","positive"
"general","","positive"
"cosmetic","i like your all vedios and your makeup","spam"
"general","i hate your videos you always say its about lollipops","negative"
"general","love u","spam"
"general","i swear youre the most beautiful girl ive ever seen but i got to be loyal to my mother so","spam"
"general","youre welcome","spam"
"general","proud african american right here","spam"
"cosmetic","why is makeup in your hair","negative"
"general","someone ur sister is so beautiful she thanks but itz my mother","spam"
"general","thank you","spam"
